datetime,y_true,y_pred
2018-08-09,0.0,1
2018-08-10,0.0,1
2018-08-13,1.0,1
2018-08-14,0.0,1
2018-08-15,0.0,1
2018-08-16,1.0,1
2018-08-17,1.0,1
2018-08-20,1.0,1
2018-08-21,0.0,1
2018-08-22,0.0,1
2018-08-23,1.0,1
2018-08-24,1.0,1
2018-08-27,1.0,1
2018-08-28,1.0,1
2018-08-29,0.0,1
2018-08-30,1.0,1
2018-08-31,1.0,1
2018-09-03,0.0,1
2018-09-04,1.0,1
2018-09-05,1.0,1
2018-09-06,0.0,1
2018-09-07,1.0,1
2018-09-10,1.0,1
2018-09-11,1.0,1
2018-09-12,0.0,1
2018-09-13,0.0,1
2018-09-14,1.0,1
2018-09-17,0.0,1
2018-09-18,1.0,1
2018-09-19,1.0,1
2018-09-20,0.0,1
2018-09-21,0.0,1
2018-09-24,1.0,1
2018-09-25,0.0,1
2018-09-26,0.0,1
2018-09-27,1.0,1
2018-09-28,0.0,1
2018-10-01,1.0,1
2018-10-02,0.0,1
2018-10-03,1.0,1
2018-10-04,1.0,1
2018-10-05,0.0,1
2018-10-08,1.0,1
2018-10-09,1.0,1
2018-10-10,1.0,1
2018-10-11,0.0,1
2018-10-12,1.0,1
2018-10-15,0.0,1
2018-10-16,0.0,1
2018-10-17,1.0,1
2018-10-18,1.0,1
2018-10-19,0.0,1
2018-10-22,1.0,1
2018-10-23,1.0,1
2018-10-24,0.0,1
2018-10-25,1.0,1
2018-10-26,0.0,1
2018-10-29,0.0,1
2018-10-30,0.0,1
2018-10-31,1.0,1
2018-11-01,0.0,1
2018-11-02,0.0,1
2018-11-05,0.0,1
2018-11-06,0.0,1
2018-11-07,0.0,1
2018-11-08,0.0,1
2018-11-09,0.0,1
2018-11-12,1.0,1
2018-11-13,1.0,1
2018-11-14,1.0,1
2018-11-15,1.0,1
2018-11-16,1.0,1
2018-11-19,0.0,1
2018-11-20,1.0,1
2018-11-21,1.0,1
2018-11-22,0.0,1
2018-11-23,0.0,1
2018-11-26,0.0,1
2018-11-27,1.0,1
2018-11-28,1.0,1
2018-11-29,0.0,1
2018-11-30,1.0,1
2018-12-03,1.0,1
2018-12-04,0.0,1
2018-12-05,1.0,1
2018-12-06,1.0,1
2018-12-07,0.0,1
2018-12-10,0.0,1
2018-12-11,1.0,1
2018-12-12,0.0,1
2018-12-13,0.0,1
2018-12-14,1.0,1
2018-12-17,1.0,1
2018-12-18,0.0,1
2018-12-19,1.0,1
2018-12-20,0.0,1
2018-12-21,1.0,1
2018-12-24,0.0,1
2018-12-25,0.0,1
2018-12-26,1.0,1
2018-12-27,1.0,1
2018-12-28,1.0,1
2018-12-31,1.0,1
2019-01-02,1.0,1
2019-01-03,0.0,1
2019-01-04,1.0,1
2019-01-07,0.0,1
2019-01-08,1.0,1
2019-01-09,0.0,1
2019-01-10,1.0,1
2019-01-11,1.0,1
2019-01-14,0.0,1
2019-01-15,1.0,1
2019-01-16,0.0,1
2019-01-17,0.0,1
2019-01-18,0.0,1
2019-01-21,1.0,1
2019-01-22,0.0,1
2019-01-23,0.0,1
2019-01-24,1.0,1
2019-01-25,1.0,1
2019-01-28,1.0,1
2019-01-29,1.0,1
2019-01-30,1.0,1
2019-01-31,0.0,1
2019-02-01,0.0,1
2019-02-04,1.0,1
2019-02-05,0.0,1
2019-02-06,1.0,1
2019-02-07,1.0,1
2019-02-08,0.0,1
2019-02-11,1.0,1
2019-02-12,0.0,1
2019-02-13,1.0,1
2019-02-14,1.0,1
2019-02-15,1.0,1
2019-02-18,1.0,1
2019-02-19,0.0,1
2019-02-20,0.0,1
2019-02-21,1.0,1
2019-02-22,0.0,1
2019-02-25,1.0,1
2019-02-26,0.0,1
